freed,theorem,family_suffix,choice_free_siblings
573,axac3,,
497,cardeqv,,
461,numth3,,
264,fodomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
119,fnrndomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
64,ac6,,
49,subsaliuncl,iuncl,caragenfiiuncl elpwiuncl fiiuncl saliuncl
48,ac6s,,
48,subsalsal,,
40,abrexdomjm,,
39,abrexdom2jm,,
38,sigaclci,,
36,difelsiga,elsiga,0elsiga baselsiga unelsiga unielsiga
29,disjinfi,infi,fiinfi iinfi pwinfi uzinfi
27,sge0iunmptlemre,,
26,sge0iunmpt,nmpt,disjrnmpt elrnmpt esumrnmpt fisupclrnmpt fnmpt funmpt infnsuprnmpt infrpgernmpt infxrgelbrnmpt infxrunb3rnmpt nelrnmpt ralrnmpt rexrnmpt rnmpt sge0rernmpt sge0snmpt supminfrnmpt supminfxrrnmpt suprclrnmpt suprleubrnmpt suprnmpt suprubrnmpt supxrleubrnmpt supxrre3rnmpt supxrrernmpt txcnmpt
25,domtri,omtri,fidomtri gchdomtri
25,zornn0,rnn0,frusgrnn0 hashnbusgrnn0 lgsdirnn0 sge0rnn0
22,sge0xp,,
21,ac6sg,,
21,ovnsubaddlem1,addlem1,itg1addlem1 itgaddlem1 plyaddlem1 sge0xaddlem1 smfaddlem1
20,ovnsubaddlem2,addlem2,itg1addlem2 itgaddlem2 sge0xaddlem2
19,ovnsubadd,subadd,ablsubadd binom2subadd grpsubadd hvsubadd lesubadd lmodvsubadd ltsubadd resubadd xlesubadd
19,ssmxidl,mxidl,crngmxidl drng0mxidl drngmxidl ismxidl
18,entric,tric,lelttric lestric letric scmatric sotric uztric xrlelttric
15,imadomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
15,ovnome,,
15,satfun,tfun,cnextfun fliftfun funpartfun partfun qliftfun structfun wwlksnextfun
14,axaci,,
12,ac6sf2,,
12,madefi,,
12,wlkiswwlksupgr2,,
11,acunirnmpt2f,mpt2f,cncfmpt2f fvmpt2f
11,grur1,,
11,oldfi,,
10,aciunf1lem,f1lem,diag1f1lem diag2f1lem fcoresf1lem i1f1lem oadif1lem onsucf1lem pm2mpf1lem recxpf1lem rngqiprngimf1lem sprsymrelf1lem symgextf1lem
10,acsinfdimd,dimd,mreexfidimd
10,ffsrn,,
10,wlklnwwlklnupgr2,,
9,aciunf1,,
9,acsexdimd,dimd,mreexfidimd
9,fpwrelmapffslem,slem,addcutslem bj-denoteslem catprslem clsslem clwwisshclwwslem constrsslem coprmproddvdslem cusgrsizeindslem dvreslem elsetrecslem exidreslem flimclslem hlhilslem iblabslem iblposlem iinfconstbaslem indislem mclsppslem metreslem mpllsslem oaabslem omabslem oposlem opsrbaslem ordtbaslem ordthauslem ovolsslem pjsslem prdsbaslem prslem pslem psr1baslem qtopbaslem quslem refrelcosslem resthauslem rrncmslem rusgrnumwwlkslem sadasslem sigapildsyslem sshauslem ssmclslem telgsumfzslem tmslem trclsslem trlreslem tuslem txindislem umgrreslem upgrreslem uptposlem wlkreslem xmulasslem xrinfmsslem xrsupsslem znbaslem zntoslem
9,grurankcld,,
9,omeiunle,iunle,meaiunle
9,tskuni,,
9,wlklnwwlknupgr,upgr,clnbupgr edgupgr isclwlkupgr isubgrupgr isupgr nbupgr subupgr umgrislfupgr umgrupgr usgrupgr uspgrupgr wrdupgr
8,fpwrelmapffs,,
8,gruscottcld,tcld,intcld metcld metsscmetcld ptcld resqrtcld restcld rpsqrtcld sqrtcld
8,lvecdim,,
8,measssd,,
8,s3wwlks2on,wwlks2on,sps3wwlks2on usgrwwlks2on wpthswwlks2on
8,satefvfmla0,mla0,fmla0 satfv0fvfmla0
7,eulerpartlem1,artlem1,dquartlem1 quartlem1
7,fodom,odom,modom
7,fsumiunle,iunle,meaiunle
7,grucollcld,lcld,blcld ceilcld cnblcld flcld hauseqlcld mulcld nmulcld nn0mulcld nnmulcld remulcld rpmulcld xmulcld zmulcld
7,zarcls1,,
6,ac6s2,,
6,bdayfinbndlem1,bndlem1,bgoldbtbndlem1 chpdifbndlem1 dnibndlem1 pntibndlem1 pntrlog2bndlem1
6,cardidg,,
6,cldssbrsiga,brsiga,unibrsiga
6,dimval,imval,flimval rimval sgrimval
6,grumnudlem,dlem,angpieqvdlem atanbndlem atanlogaddlem axeuclidlem bdaypw2n0bndlem bj-cbvalimdlem bj-cbveximdlem bj-imdiridlem chpmat1dlem cicpropdlem cncfioobdlem coe1fzgsumdlem coeaddlem coeidlem cosordlem dignn0ldlem dvidlem dvmptfprodlem ef01bndlem efaddlem efgredlem endmndlem esum2dlem evl1gsumdlem f1resrcmplf1dlem fmucndlem fprod2dlem fsum2dlem gsumzaddlem hashgcdlem i1faddlem ibladdlem initopropdlem invpropdlem isfildlem ismtybndlem isomenndlem isopropdlem itg2addlem latdisdlem lcmgcdlem lduallmodlem limsuppnfdlem ltordlem mbfaddlem minplyirredlem mulgt0con1dlem mulscan2dlem omssubaddlem pcaddlem pcidlem pgindlem phibndlem plyaddlem prdsidlem prlngsymquadlem prmirredlem proththdlem prstcnidlem rankonidlem relexpindlem resubidaddlidlem rmodislmodlem rnmptbddlem rnmptbdlem rprmirredlem sadaddlem sadcaddlem sectpropdlem smndex1mndlem sumdmdlem swrdswrdlem symquadlem tanaddlem termopropdlem xpord2indlem xpord3inddlem xpsaddlem zeroopropdlem
6,hgt750lema,lema,breprexplema dchrisum0lema dchrisumlema dchrmusumlema dchrvmasumlema dedlema efgcpbllema efgredlema efgrelexlema inf3lema lmodlema pntlema selvply1rhmlema signslema slmdlema
6,issmfgt,,
6,prob01,,
6,sategoelfvb,,
6,zartopn,topn,circtopn cnfldtopn efmndtopn imastopn mgptopn mstopn oppgtopn prdstopn ptopn qqtopn resstopn retopn rintopn rlmtopn rrxtopn rspectopn setsmstopn sratopn symgtopn tcphtopn tmstopn tngtopn topontopn tustopn xmstopn xpstopn xrge0topn xrstopn
6,zfac,,
5,ac6mapd,mapd,elmapd
5,axacndlem4,ndlem4,axpowndlem4 bgoldbtbndlem4 clsk1indlem4 dnibndlem4 pntrlog2bndlem4 sgrp2nmndlem4
5,bdayfinbndlem2,bndlem2,bgoldbtbndlem2 chpdifbndlem2 dnibndlem2 pntibndlem2 pntrlog2bndlem2
5,cardidd,didd,dvdsgcdidd lidrididd
5,constrcon,,
5,grumnud,,
5,hgt750leme,leme,ballotleme cdleme efgredleme eulerpartleme pntleme
5,omeiunltfirp,,
5,orvccel,,
5,smfpimgtxr,,
5,smfpimltxr,,
5,ssdifidl,,
4,ac4,,
4,ac6sf,,
4,axacndlem5,ndlem5,dnibndlem5 pntrlog2bndlem5 sgrp2nmndlem5
4,bdayfinbnd,inbnd,asinbnd sinbnd
4,carageniuncllem2,cllem2,chscllem2 emcllem2 gcdcllem2 gpgprismgr4cycllem2 remulscllem2 selvcllem2
4,cardid,ardid,ficardid oncardid
4,carsgclctunlem2,unlem2,ovoliunlem2 ovolunlem2 satffunlem2 voliunlem2
4,dflringlem,nglem,cznrnglem deranglem fidomndrnglem hlhilsrnglem lnssplnglem mndodconglem rhmimasubrnglem symquadprlnglem tnglem
4,elwwlks2on,wwlks2on,sps3wwlks2on usgrwwlks2on wpthswwlks2on
4,filssufil,ufil,cfinufil fin1aufil fixufil fmufil isufil trufil
4,fnct,,
4,grumnueq,,
4,inar1,,
4,issmfle,,
4,iundom,ndom,acndom endom harndom pwdjundom pwxpndom undom
4,lmimdim,mdim,
4,lvecendof1f1o,1f1o,ccatws1f1o diag1f1o fmptco1f1o fz1f1o mat1f1o swapf1f1o
4,onsfi,,
4,orrvccel,,
4,rtelextdg2,extdg2,
4,satfvel,,
4,smflimsuplem3,suplem3,noetasuplem3
4,smfsuplem3,suplem3,noetasuplem3
4,ssdifidlprm,lprm,2mulprm mxidlprm
4,tgoldbachgtde,,
4,vonmea,,
4,zorn,,
3,1arithufdlem4,dlem4,1wlkdlem4 2wlkdlem4 3wlkdlem4 axpowndlem4 bgoldbtbndlem4 chirredlem4 clsk1indlem4 dnibndlem4 dochexmidlem4 fourierdlem4 gausslemma2dlem4 itg1addlem4 jm2.27dlem4 mnuprdlem4 onvf1odlem4 pntrlog2bndlem4 sgrp2nmndlem4 stoweidlem4 wlkdlem4
3,abrexctf,,
3,ac2,,
3,ac4c,,
3,ac5b,,
3,ac6c4,,
3,ac6s3f,,
3,ac6s4,,
3,ac8,,
3,acsmapd,mapd,elmapd
