freed,theorem,family_suffix,choice_free_siblings
494,ax13v,,
492,ax13lem1,,
161,nfeqf2,feqf,
80,nfeqf1,feqf,
75,ax6e,,
59,dveeq1,veeq,
40,sb4b,,
27,spim,,
26,nfsb4t,,
24,nfsbd,,
21,axc11n,,
21,cbv3,,
18,dvelimf,limf,climf climf2 dvfsumrlimf elimf fnlimf hlimf lmclimf rlimf
18,sb2,,
16,aecom,ecom,linecom lspsnnecom necom tglinecom
15,cbvralf,,
15,hbae,,
15,nfmod2,fmod,difmod0
14,nfmod,fmod,difmod0
13,nfabd,,
13,nfmo,,
12,aecoms,coms,alcoms ancoms eqcoms equcoms orcoms
12,equsb1,qusb,equsb3 ring2idlqusb
11,dveeq2,veeq,
11,equsal,qusal,
11,nfae,,
11,nfeqf,feqf,
10,axc11,,
10,axc15,,
10,dvelimh,,
10,nfsb,,
9,axc9,,
9,bj-alequex,,
8,cbv1,,
8,cbvrexf,rexf,disjabrexf ssrexf
8,equsalh,,
8,hbsb2a,,
8,nfsbcd,sbcd,rspesbcd spesbcd spsbcd
7,cbvrex,,
7,dvelim,elim,elrelsrelim eqvrelim lhpelim n0elim naddelim nelbrnelim nvelim oelim oelim2 rp-oelim2 symrelim
7,dvelimf-o,,
7,hbsb,,
7,nfrald,,
7,sbcom3,bcom,bj-subcom csbcom sbcom2 sbcom4 syl5ibcom
6,ax12,,
6,cbvral,vral,fzrevral fzrevral2 fzrevral3
6,cbvralcsf,,
6,cbvrexsv,,
6,copsexg,sexg,abssexg ceqsexg cgsexg dmresexg lbsexg n0sexg pssexg qsexg resexg ssexg ssexgOLD tposexg
6,dral1,,
6,moexex,exex,ab2rexex ab2rexex2 abexex abrexex abrexex2 bj-biexex gexex gexexlem moexexlem oprabrexex2 rexex
6,sbcnestgf,stgf,csbconstgf
6,sbie,,
5,2ax6elem,ax6e,bj-ax6elem2
5,axextnd,,
5,bj-dvelimdv1,limdv,2alimdv alimdv bj-cbvalimdv exlimdv ralimdv ralimdv2 rexlimdv
5,bj-equsal1t,sal1t,ceqsal1t
5,bj-hbsb3t,,
5,cbv2,,
5,cbvab,,
