freed,theorem,family_suffix,choice_free_siblings
537,axac3,,
461,cardeqv,,
425,numth3,umth,oddnumth
228,fodomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
83,fnrndomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
64,ac6,,
49,subsaliuncl,aliuncl,saliuncl subsaliuncllem
48,ac6s,,
48,subsalsal,,
29,disjinfi,infi,fiinfi iinfi pwinfi pwinfi2 uzinfi
27,sge0iunmptlemre,,
26,sge0iunmpt,unmpt,funmpt funmpt2
25,domtri,omtri,domtri2 fidomtri fidomtri2 gchdomtri
25,zornn0,,
24,abrexctf,,
22,sge0xp,,
21,ac6sg,,
21,ovnsubaddlem1,vnsubadd,
20,ovnsubaddlem2,vnsubadd,
19,ovnsubadd,vnsubadd,
19,ssmxidl,smxidl,ismxidl ssmxidllem
18,entric,tric,lelttric lestric letric scmatric sotric uztric xrlelttric
15,imadomg,domg,0domg 0sdomg brdomg f1domg iundomg nnsdomg ssdomg unwdomg xpwdomg
15,ovnome,,
15,satfun,tfun,cnextfun fliftfun funpartfun partfun partfun2 qliftfun structfun wwlksnextfun
14,axaci,,
14,measvuni,easvuni,measvunilem0
12,ac6sf2,,
12,madefi,,
12,wlkiswwlksupgr2,upgr,clnbupgr edgupgr isclwlkupgr isubgrupgr isupgr nbupgr subupgr umgrislfupgr umgrislfupgrlem umgrupgr usgrupgr uspgrupgr wrdupgr
11,acunirnmpt2f,mpt2f,cncfmpt2f fvmpt2f
11,grur1,,
11,oldfi,,
10,aciunf1lem,,
10,acsinfdimd,dimd,mreexfidimd
10,ffsrn,,
10,wlklnwwlklnupgr2,upgr,clnbupgr edgupgr isclwlkupgr isubgrupgr isupgr nbupgr subupgr umgrislfupgr umgrislfupgrlem umgrupgr usgrupgr uspgrupgr wrdupgr
9,aciunf1,,
9,acsexdimd,dimd,mreexfidimd
9,fpwrelmapffslem,,
9,grurankcld,,
9,omeiunle,iunle,meaiunle meaiunlelem
9,tskuni,kuni,rankuni rankuni2
9,wlklnwwlknupgr,upgr,clnbupgr edgupgr isclwlkupgr isubgrupgr isupgr nbupgr subupgr umgrislfupgr umgrislfupgrlem umgrupgr usgrupgr uspgrupgr wrdupgr
8,fpwrelmapffs,,
8,gruscottcld,tcld,intcld metcld metcld2 metsscmetcld ordtcld1 ordtcld2 ordtcld3 ptcld resqrtcld restcld rpsqrtcld sqrtcld
8,lvecdim,cdim,
8,s3wwlks2on,wwlks2on,sps3wwlks2on usgrwwlks2on wpthswwlks2on
8,satefvfmla0,fvfmla,satfv0fvfmla0 satfv1fvfmla1
7,eulerpartlem1,part,brpartspart cnpart dfmembpart2 dfpart2 funpartlem gbpart11 gbpart6 gbpart7 gbpart8 gbpart9 gsumpart iccelpart icceuelpart icceuelpartlem iccpart mainpart membpartlem19
