axiom,packaging,guard_directives,reach,guarded_theorems,guard_ratio
ax-12,ax-12,434,36943,434,0.0117
ax-10,ax-10,430,36192,430,0.0119
ax-11,ax-11,397,35949,397,0.0110
ax-13,ax-13,371,494,371,0.7510
ax-pow,ax-pow,149,29614,149,0.0050
ax-8,ax-8,121,42150,121,0.0029
ax-9,ax-9,95,42427,95,0.0022
ax-reg,ax-reg,89,517,89,0.1721
ax-rep,ax-rep,86,19214,86,0.0045
ax-ext,ax-ext,83,42354,83,0.0020
ax-un,ax-un,79,31614,79,0.0025
ax-inf,ax-inf/ax-inf2,78,5424,78,0.0144
ax-inf2,ax-inf/ax-inf2,76,5424,78,0.0144
ax-ac2,ax-ac/ax-ac2,69,546,70,0.1282
ax-ac,ax-ac/ax-ac2,62,546,70,0.1282
ax-mulcom,ax-mulcom,59,20613,59,0.0029
df-clel,df-clel,56,,56,
ax-sep,ax-sep,55,,55,
ax-nul,ax-nul,48,,48,
ax-mulf,ax-mulf,45,,45,
ax-pr,ax-pr,44,,44,
df-cleq,df-cleq,41,,41,
df-clab,df-clab,34,,34,
ax-7,ax-7,27,,27,
ax-6,ax-6,18,,18,
ax-5,ax-5,12,,12,
ax-3,ax-3,7,,7,
ax-addf,ax-addf,7,,7,
ax-2,ax-2,6,,6,
ax-cc,ax-cc,3,,3,
ax-dc,ax-dc,3,,3,
ax-pre-sup,ax-pre-sup,2,,2,
cvv,cvv,2,,2,
ax-1,ax-1,1,,1,
df-sb,df-sb,1,,1,
df-nel,df-nel,1,,1,
ax-resscn,ax-resscn,1,,1,
ax-addass,ax-addass,1,,1,
ax-mulass,ax-mulass,1,,1,
ax-rnegex,ax-rnegex,1,,1,
ax-pre-lttri,ax-pre-lttri,1,,1,
ax-pre-lttrn,ax-pre-lttrn,1,,1,
ax-pre-ltadd,ax-pre-ltadd,1,,1,
ax-regs,ax-regs,1,,1,
ax-cnex,ax-cnex,1,,1,
ax-1cn,ax-1cn,1,,1,
ax-addcl,ax-addcl,1,,1,
